Location #,Type,Size,Location,Barcode,Serial Number,Pass Y/N,< 5ft Y/N,Date Inspected ,Initials
EPDW-01,ABC,10LBS,EPD warehouse entrance,411972,I17714132,,,,
EPDW-02,ABC,10LBS,EPD warehouse southeast breakroom,761877,I17717025,,,,
EPDW-03,ABC,10LBS,EPD warehouse southwest fire exit,411976,I17713238,,,,
EPDW-04,ABC,10LBS,EPD warehouse center,411975,I17717026,,,,
EPDG-01,ABC,10LBS,EPD LG north entrance panic station,761314,G16810013,,,,
EPDG-03,ABC,10LBS,EPD LG tramshop inside north door,281742,I17717033,,,,
,ABC,10LBS,EPD LG tramshop roll up door,761010,F46781486,,,,
EPDG-04,ABC,10LBS,EPD LG tramshop inside south door,761634,F70313467,,,,
EPDG-05,ABC,10LBS,EPD next to north exit road,411664,I17706463,,,,
EPDG-05,ABC,10LBS,EPD east entrance outside tramshop,761610,I17695171,,,,
EPDG-06,ABC,10LBS,EPD LG westside EVS storage,411967,F70313781,,,,
EPDG-07,ABC,10LBS,EPD LG east stariwell C,761088,F70313782,,,,
EPD1-02,ABC,10LBS,EPD L1 North entrance stairwell C,761342,G16807134,,,,
EPD1-06,ABC,10LBS,EPD Maintenance shop north,761419,F88832394,,,,
EPD1-06,ABC,10LBS,EPD LN1 outside maintenance storage,761874,I17713730,,,,
EPD1-08,ABC,10LBS,EPD L1 southside center,411963,F70314314,,,,
EPD1-09,ABC,10LBS,EPD L1 E elevator lobby panic station,761875,I17713231,,,,
EPD2-01,ABC,10LBS,EPD L2 elevator lobby,281751,I17695170,,,,
EPD2-02,ABC,10LBS,EPD L2 westside center,761334,G15034667,,,,
EPD2-03,ABC,10LBS,EPD L2 southside panic station,761337,G16812997,,,,
EPD2-04,ABC,10LBS,EPD L2 eastside center/ south,761347,G16810525,,,,
EPD2-05,ABC,10LBS,EPD L2 northside canter stair C,761876,I17717027,,,,
EPD2-06,ABC,10LBS,EPD L2 eastside center north,761336,G15022778,,,,
EPD2-07,ABC,10LBS,EPD L2 center middle,761299,G16812290,,,,
EPD3-01,ABC,10LBS,EPD L3 center / south,761873,I17713225,,,,
EPD3-02,ABC,10LBS,EPD L3 southside panic station,281752,I17713722,,,,
EPD3-03,ABC,10LBS,EPD L3 westside center,761871,I17717021,,,,
EPD3-04,ABC,10LBS,EPD L3 westside elevator lobby ,761332,G16810522,,,,
EPD3-05,ABC,10LBS,EPD L3 northside stair B,761298,G09728329,,,,
EPD3-06,ABC,10LBS,EPD L3 northside stair C,761036,F70313779,,,,
EPD3-07,ABC,10LBS,EPD L3 eastside center / north,761872,I17713726,,,,
EPD3-08,ABC,10LBS,EPD L3 center,761870,I17713234,,,,
EPD4-01,ABC,10LBS,EPD L4 Eastside center / south,761868,I17695178,,,,
EPD4-02,ABC,10LBS,EPD L4 southside panic station,761864,I17713739,,,,
EPD4-03,ABC,10LBS,EPD L4 westside center,761865,I17840928,,,,
EPD4-04,ABC,10LBS,EPD L4 westside elevator lobby,761866,I17645186,,,,
EPD4-05,ABC,10LBS,EPD L4 northstair B,281743,F44671117,,,,
EPD4-06,ABC,10LBS,EPD L4 northside stair C,411687,F44671124,,,,
EPD4-07,ABC,10LBS,EPD L4 eastside center / north,761867,I17713232,,,,
EPD4-08,ABC,10LBS,EPD L4 center,761864,I17713735,,,,
EPD5-01,ABC,10LBS,EPD L5 eastside center / south,761860,I17714747,,,,
EPD5-02,ABC,10LBS,EPD L5 south panic station,761863,I17714131,,,,
EPD5-03,ABC,10LBS,EPD L5 east center north,761862,I17707049,,,,
EPD5-04,ABC,10LBS,EPD L5 westside elevatory lobby,761861,I17695182,,,,
EPD5-05,ABC,10LBS,EPD L5 northside stair B,761609,F46777804,,,,
EPD5-06,ABC,10LBS,EPD L5 northside stair C,411757,I17699527,,,,
EPD5-07,ABC,10LBS,EPD L5 center / south,761313,G16810526,,,,
EPD5-08,ABC,10LBS,EPD L5 center ,761859,I17694526,,,,
EPD6-01,ABC,10LBS,EPD L6 eastside center / north,761858,I17707045,,,,
EPD6-02,ABC,10LBS,EPD L6 southside center,281756,I17695187,,,,
EPD6-03,ABC,10LBS,EPD L6 westside center panic station,761343,G16812992,,,,
EPD6-04,ABC,10LBS,EPD L6 westside elevator lobby,281754,I17695179,,,,
EPD6-05,ABC,10LBS,EPD L6 northside stair B,761857,I17707048,,,,
EPD6-06,ABC,10LBS,EPD L6 northside stair C,761619,F44671129,,,,
EPD6-07,ABC,10LBS,EPD L6 center / south,281753,E1149433,,,,
EPD6-08,ABC,10LBS,EPD L6 center,411910,F44671127,,,,
EPD7-01,ABC,10LBS,EPD L7 eastside / south,761348,G16810015,,,,
EPD7-02,ABC,10LBS,Employee stairwell D,761346,G0972371,,,,
EPD7-03,ABC,10LBS,EPD L7 westside / south stair E,761350,G16812291,,,,
EPD7-04,ABC,10LBS,EPD L7 next to elevator lobby entrance,761351,G16812998,,,,
EPD7-05,ABC,10LBS,EPD L7 center west,761340,G09709224,,,,
EPD7-06,ABC,10LBS,EPD L7 northside stair B,761333,G16807136,,,,
EPD7-07,ABC,10LBS,EPD L7 northside stiar C,761349,G16810523,,,,
EPDP-01,ABC,10LBS,EPD L7 penthouse elevator room,761339,G16810527,,,,
